PlotID	Plot.code	pH	pHCaCl2	ResinPi	MehlichP	MehlichAl	MehlichCa	MehlichFe	MehlichK	MehlichMg	MehlichMn	MehlichZn	TotalBases	NH4	NO3	TotalinorgN	DON	TotalP	TotalN	MehlichB	WaterB	TotalC	MicC	MicN	MicP	Clay	Latitude	Longitude	Elevation	AnnualPpt	DrySeasonDeficit
125	P27	6.24	5.59	5.35	4.43	667.8	2888	211.4	199.7	768.3	64.2	3.68	3856	1.45	1.37	2.82	9.2	454	0.266	0.4938	0.0703	2.87818473472421	533.333333333333	74.3753086419753	55.1902777777778	48.4500333930924	9.08048	-79.6451	180	2037.28970454439	-578.98508200432
106	P08	5.29	4.52	0.77	1.52	1009.1	662.8	169.8	26.1	220	268.4	3.69	909	1.86	2.57	4.43	33.6	264	0.36	0.6372	0.1573	2.94752258502934	753.351851851852	161.048148148148	38.1146875	56.055132446895	9.1683	-79.7464	180	2352.03556382853	-542.758656519327
104	P06	4.36	3.94	1.22	2.32	749.9	361.8	175.5	29.5	112.1	53.8	2.3	503	0.55	1.79	2.35	22.7	183	0.789	0.3557	0.1153	2.34652632146012	673.58024691358	138.484362139918	51.0383333333333	47.0991607922122	9.1565	-79.7442	30	2311.03226765	-552.912408091096
145	elcharco	5.43	4.64	2.97	4.21	1262.2	759.9	156.9	58.8	206.8	141.4	4.72	1025	0.75	1.85	2.6	18.4	676	0.895	0.4731	0.0946	2.72938037251046	669.351851851852	97.2234567901235	53.0416666666667	90.7281807619778	9.08405	-79.6634	116	2050.50584364314	-579.147914528549
103	P05	6.06	5.13	1.78	2.5	594.5	1900.1	131.6	35.2	345	153.3	5.25	2280	1.29	3.23	4.52	10.5	428	0.31	0.5739	0.0975	4.57281047498586	907.716049382716	186.08950617284	80.5488888888889	52.735383670824	9.15682	-79.7517	40	2325.04284147404	-549.609330851028
140	caritas	6.92	6.08	4.48	4.24	323.3	4162.3	183.8	256.3	884	116.7	3.03	5303	1.33	2.23	3.56	4.4	497	0.39	0.7441	0.115	4.39347200719011	508.524691358025	107.437037037037	74.3772222222222	42.8587909938981	9.08519	-79.6077	155	2037.92524911131	-579.100531262557
126	P28	6.23	5.25	2.17	2.48	827.5	2320.1	195.6	67.8	704	120.3	3.4	3092	1.81	1.44	3.25	15	385	0.38	0.7303	0.1203	3.44529380714604	628.376543209877	160.288271604938	63.3572222222222	74.1364251503391	9.08652	-79.6424	160	2048.1026039894	-579.008907907607
114	P16	5.97	5.01	0.66	1.87	523	1405.2	155.9	37.5	566.1	168	2.15	2009	1.16	2.7	3.86	17.2	306	0.23	0.6293	0.1712	3.30641018718892	1098.17901234568	133.129431749241	48.1036111111111	63.3115172731887	9.14674	-79.7125	160	2247.66604830566	-562.801789944854
23	Cerro Pelado - Gamboa - p1ha	4.36	3.92	2.08	3.25	1069.4	157	138	26.2	41.3	17.2	1.44	225	1.38	4.18	5.56	34.8	432	0.43	0.421	0.2167	3.98917953192151	934.117283950618	165.011951830093	70.7855555555556		9.12099	-79.6973	120	2152.51938157764	-572.945344227785
117	P19	4.95	4.35	0.6	1.39	677.1	407.2	93	34.3	152	161.4	1.74	593	1.31	1.3	2.61	47.8	217	0.34	0.5995	0.2766	3.50254814036077	800.990574325244	184.442274142522	34.6472222222222	71.1415861323096	9.19917	-79.7741	160	2491.30026805769	-518.546488296871
118	P20	5.01	4.18	0.53	1.1	617.6	394	114.5	63.1	204	193.7	2.38	661	1.35	1.47	2.82	48.8	320	0.44	0.5689	0.2652	3.52664228517676	810.816036182346	175.644202545835	26.6616666666667	74.1400893104757	9.19028	-79.7643	160	2446.09729637912	-526.22430346573
119	P21	5.94	5.26	3.25	5.53	772.5	5581.6	78	89.2	861.4	60.2	1.45	6532	1.32	2.58	3.9	5.6	371	0.41	0.549	0.157	5.31854705880449	867.664294600249	139.90420003835	107.886388888889	58.1514868571167	9.14149	-79.6935	110	2225.68050150399	-569.364858260049
111	P13	6.39	5.57	8.44	4.33	629	5532.5	143.8	315.9	1101.3	77.3	4.74	6950	1.09	3.51	4.59	4.4	552	0.35	0.7377	0.2541	4.99011509682965	904.327160493827	166.869444444444	100.647222222222	51.3272257585221	9.18788	-79.821	55	2590.69129630553	-509.443434937264
115	P17	6.3	5.54	4.81	2.95	473.3	3527.7	152.5	23.4	580	107.9	2.35	4131	0.46	1.63	2.09	3.9	614	0.31	0.4907	0.0383	2.47982564288112	524.647916666667	105.309027777778	44.9309375	34.8411257728638	9.15181	-79.7158	120	2267.07151502917	-561.454142639617
122	P24	6.36	5.62	13.14	5.29	517.8	2817.5	139.5	351.9	914.5	174.9	5.94	4084	1.16	3.95	5.11	6.7	940	0.36	0.7709	0.193	6.79981823190615	919.711728395062	174.331728395062	135.341388888889	55.8411353438114	9.12372	-79.6767	50	2160.07974171685	-575.722046780485
121	P23	6.39	5.77	22.36	21.97	462.2	4089.9	159	285.2	487.6	69.1	3.22	4863	1.24	2.97	4.21	6.3	1160	0.288	0.6884	0.1483	3.4145129013041	405.474074074074	81.4778395061729	36.8809375	76.817851508007	9.1217	-79.6731	30	2153.03887626204	-576.525392683279
