"","site","Month","mon_mean","temporal","dataset_name","long_dd","lat_dd","CHELSA1.2","CHELSA2.1","CHELSA_EarthEnv","CHPclim","WorldClim2.1","CHIRPS2.0","CHELSAW5E5v1.0","TerraClimate","PBCOR_CHELSA1.2","PBCOR_CHPclim","PBCOR_WorldClim2.1"
"1112","BCICLEAR",8,270.936903225806,"1970-2000","PBCOR WorldClim 2.1",-79.838233,9.163114,340,350.399993896484,298.880706787109,299.639373779297,248,290.709838867188,285.995544433594,282.299987792969,273,299.639373779297,312
"1113","BCICLEAR",9,249.170580645161,"1970-2000","PBCOR WorldClim 2.1",-79.838233,9.163114,316,335.299987792969,305.834991455078,250.891052246094,269,268.266418457031,281.356109619141,227.699996948242,259,250.891052246094,268
"1114","BCICLEAR",10,298.937258064516,"1970-2000","PBCOR WorldClim 2.1",-79.838233,9.163114,400,392.600006103516,327.820007324219,370.953125,426,368.760101318359,335.855743408203,395.799987792969,335,370.953125,392
"1115","BCICLEAR",11,305.325290322581,"1970-2000","PBCOR WorldClim 2.1",-79.838233,9.163114,496,505,429.976440429688,480.063537597656,323,441.416412353516,381.110717773438,291.700012207031,397,480.063537597656,428
"1116","BCICLEAR",12,181.748516129032,"1970-2000","PBCOR WorldClim 2.1",-79.838233,9.163114,271,250.100006103516,194.077850341797,278.331848144531,116,236.014678955078,219.509124755859,78.1999969482422,210,278.331848144531,210
"1117","CASCADAS",1,32.6696551724138,"1970-2000","PBCOR WorldClim 2.1",-79.679987,9.080817,46,47.0999984741211,27.249231338501,38.7486267089844,62,30.7667140960693,57.6101570129395,54.4000015258789,45,38.7486267089844,62
"1118","CASCADAS",2,11.1234482758621,"1970-2000","PBCOR WorldClim 2.1",-79.679987,9.080817,25,19.3999996185303,19.5338459014893,18.2065486907959,15,14.1597061157227,31.1366424560547,13.6999998092651,24,18.2065486907959,15
"1119","CASCADAS",3,21.6337931034483,"1970-2000","PBCOR WorldClim 2.1",-79.679987,9.080817,19,28.7000007629395,20.6392860412598,17.0546112060547,34,17.5279579162598,31.8129539489746,24.5,19,17.0546112060547,34
"1120","CASCADAS",4,86.1848275862069,"1970-2000","PBCOR WorldClim 2.1",-79.679987,9.080817,78,97.4000015258789,118.410003662109,71.861572265625,104,98.7143630981445,117.765037536621,72.1999969482422,76,71.861572265625,104
"1121","CASCADAS",5,260.919310344828,"1970-2000","PBCOR WorldClim 2.1",-79.679987,9.080817,249,301.600006103516,298.651428222656,306.905883789062,236,286.542205810547,293.463897705078,313.5,250,306.905883789062,236
"1122","CASCADAS",6,281.239310344828,"1970-2000","PBCOR WorldClim 2.1",-79.679987,9.080817,237,288.299987792969,268.821441650391,272.212768554688,275,248.485977172852,286.56396484375,285.700012207031,246,272.212768554688,275
"1123","CASCADAS",7,216.775862068966,"1970-2000","PBCOR WorldClim 2.1",-79.679987,9.080817,244,280.200012207031,256.639984130859,276.403198242188,235,254.58186340332,282.416625976562,241.699996948242,245,276.403198242188,235
"1124","CASCADAS",8,250.451724137931,"1970-2000","PBCOR WorldClim 2.1",-79.679987,9.080817,249,291.799987792969,266.852844238281,285.630523681641,267,276.563812255859,291.206024169922,279.399993896484,256,285.630523681641,267
"1125","CASCADAS",9,277.035172413793,"1970-2000","PBCOR WorldClim 2.1",-79.679987,9.080817,239,302.5,281.804992675781,263.370361328125,295,283.937408447266,296.927032470703,240.800003051758,253,263.370361328125,295
"1126","CASCADAS",10,298.756551724138,"1970-2000","PBCOR WorldClim 2.1",-79.679987,9.080817,310,355,310.450012207031,341.368103027344,329,345.825103759766,357.605590820312,349.200012207031,337,341.368103027344,329
"1127","CASCADAS",11,283.691724137931,"1970-2000","PBCOR WorldClim 2.1",-79.679987,9.080817,354,381.200012207031,362.561431884766,401.762115478516,321,371.787994384766,380.458099365234,352.899993896484,361,401.762115478516,321
"1128","CASCADAS",12,113.686896551724,"1970-2000","PBCOR WorldClim 2.1",-79.679987,9.080817,178,187.800003051758,182.332855224609,193.448989868164,111,164.398590087891,209.159194946289,110.400001525879,174,193.448989868164,111
"1129","GAMBOA",1,43.2864516129032,"1970-2000","PBCOR WorldClim 2.1",-79.693876,9.111649,50,50.2000007629395,26.0799999237061,23.9309539794922,27,19.3877658843994,53.6838684082031,47.0999984741211,58,23.9309539794922,65
"1130","GAMBOA",2,13.0687096774194,"1970-2000","PBCOR WorldClim 2.1",-79.693876,9.111649,27,20.7999992370605,19.1669235229492,13.1544208526611,31,10.3326778411865,29.1524448394775,22.3999996185303,31,13.1544208526611,24
"1131","GAMBOA",3,21.8358064516129,"1970-2000","PBCOR WorldClim 2.1",-79.693876,9.111649,21,30.3999996185303,21.082857131958,19.0653209686279,20,19.1592254638672,29.7182312011719,24.3999996185303,25,19.0653209686279,23
"1132","GAMBOA",4,84.5653548387097,"1970-2000","PBCOR WorldClim 2.1",-79.693876,9.111649,82,100.900001525879,115.175003051758,72.76416015625,130,100.869125366211,108.836143493652,87,95,72.76416015625,107
"1133","GAMBOA",5,244.282258064516,"1970-2000","PBCOR WorldClim 2.1",-79.693876,9.111649,252,305.799987792969,291.587127685547,318.630798339844,305,299.127716064453,271.916687011719,321.700012207031,292,318.630798339844,293
"1134","GAMBOA",6,260.734838709677,"1970-2000","PBCOR WorldClim 2.1",-79.693876,9.111649,241,290.899993896484,266.25,278.735717773438,317,255.819091796875,268.085113525391,278.899993896484,275,278.735717773438,285
